agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,occupation,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,text_response_box.text,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[22.412200000002986],[22.412200000002986],0,[],[],27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,1,[49.534499999999994],[49.534499999999994],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,33,1,[94.1105],[94.1105],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,33,1,[108.8765],[108.8765],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,,,,,,,,,,1,[116.06440000000597],[116.06440000000597],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,,,,,,,,,,,,,[0.35170722007751465],[-0.05111018816630045],[1],[0],[0],[13.696700000002977],"[""coins_a_3"",""coins_a_3""]",0,[],[],0,0,0,59,1,52,34,-65,75,3,-57,7,7,0,51.4392846,53.96295025,-2.523665654,-65,-57,-8,-0.64,0.11,-0.75,unconfounded,FALSE,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,,,,,,,,,,,,,[-0.15729029973347983],[-0.0755832592646281],[1],[0],[0],[10.549200000002969],"[""coins_a_3"",""coins_a_3""]",0,[],[],0,1,1,197,1,97,65,-14,96,44,-1,49.33333333,46.33333333,3,46.64999702,39.63444069,7.015556332,-14,-1,-13,-0.47,0.09,-0.56,confounded,FALSE,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,,,,,,,,,,,,,[-0.2311596473058065],[-0.10236155986785889],[1],[0],[0],[7.641699999988077],"[""coins_a_3"",""coins_a_3""]",0,[],[],0,2,2,136,1,69,48,-67,68,45,-60,16.66666667,17.66666667,-1,59.77922344,55.7155474,4.063676043,-67,-60,-7,-0.64,-0.62,-0.02,confounded,FALSE,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,,,,,,,,,,,,,[0.22045358022054037],[-0.12338002522786458],[1],[0],[0],[8.409200000002983],"[""coins_a_3"",""coins_a_3""]",0,[],[],0,3,3,163,1,99,63,-12,93,52,-4,50,47,3,46.23851209,39.75759885,6.480913232,-12,-4,-8,-0.4,-0.19,-0.21,confounded,FALSE,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,,,,,,,,,,,,,[-0.125807523727417],[-0.048743883768717446],[1],[0],[0],[8.808700000002972],"[""coins_b_3"",""coins_b_3""]",0,[],[],0,4,4,10,1,44,17,-42,71,6,-31,6.333333333,15.33333333,-9,35.91038228,42.16106682,-6.250684541,-42,-31,-11,-0.42,0.32,-0.74,unconfounded,FALSE,,,,
,,,,,,27,male,College English Instructor,2025-08-07_04h33.25.922,lotterie_task,2024.2.4,Linux x86_64,60.24096386,677853a510ec19bf89b5b32d,68947058ad5ea3fc73912f3f,689472c4b42f287747ec4266,,,,,,,,,,,,,,,,[0.2784732182820638],[-0.11044013500213623],[1],[0],[0],[12.22380000001192],"[""coins_a_3"",""coins_a_3""]",0,[],[],0,5,5,158,1,82,78,-17,89,62,-11,47.66666667,46.66666667,1,45.75538827,42.24005471,3.515333554,-17,-11,-6,-0.7,-0.5,-0.2,confounded,FALSE,,,,
