agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,occupation,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,slider.response,slider.rt,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,check_correctness.started,check_correctness.stopped,failed_questions.started,failed_questions.stopped,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[12.00430000001192],[12.00430000001192],0,[],[],52,female,medical transcriber,2025-08-18_14h22.12.285,lotterie_task,2024.2.4,Win32,59.88023952,63b1c44ee564eef7558a59b6,68947058ad5ea3fc73912f3f,68a328ea2d074a4b651d122a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,52,female,medical transcriber,2025-08-18_14h22.12.285,lotterie_task,2024.2.4,Win32,59.88023952,63b1c44ee564eef7558a59b6,68947058ad5ea3fc73912f3f,68a328ea2d074a4b651d122a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,52,female,medical transcriber,2025-08-18_14h22.12.285,lotterie_task,2024.2.4,Win32,59.88023952,63b1c44ee564eef7558a59b6,68947058ad5ea3fc73912f3f,68a328ea2d074a4b651d122a,1,[54.034000000000006],[54.034000000000006],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,52,female,medical transcriber,2025-08-18_14h22.12.285,lotterie_task,2024.2.4,Win32,59.88023952,63b1c44ee564eef7558a59b6,68947058ad5ea3fc73912f3f,68a328ea2d074a4b651d122a,,,,33,34.3328,1,[91.06390000003577],[91.06390000003577],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,52,female,medical transcriber,2025-08-18_14h22.12.285,lotterie_task,2024.2.4,Win32,59.88023952,63b1c44ee564eef7558a59b6,68947058ad5ea3fc73912f3f,68a328ea2d074a4b651d122a,,,,33,11.155,1,[103.66330000001193],[103.66330000001193],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,52,female,medical transcriber,2025-08-18_14h22.12.285,lotterie_task,2024.2.4,Win32,59.88023952,63b1c44ee564eef7558a59b6,68947058ad5ea3fc73912f3f,68a328ea2d074a4b651d122a,,,,,,,,,,,,,,103.8821,103.8823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,52,female,medical transcriber,2025-08-18_14h22.12.285,lotterie_task,2024.2.4,Win32,59.88023952,63b1c44ee564eef7558a59b6,68947058ad5ea3fc73912f3f,68a328ea2d074a4b651d122a,,,,,,,,,,,,,,,,103.8823,103.8842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,52,female,medical transcriber,2025-08-18_14h22.12.285,lotterie_task,2024.2.4,Win32,59.88023952,63b1c44ee564eef7558a59b6,68947058ad5ea3fc73912f3f,68a328ea2d074a4b651d122a,,,,,,,,,,,,,,,,,,1,[111.68569999998807],[111.68569999998807],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,52,female,medical transcriber,2025-08-18_14h22.12.285,lotterie_task,2024.2.4,Win32,59.88023952,63b1c44ee564eef7558a59b6,68947058ad5ea3fc73912f3f,68a328ea2d074a4b651d122a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,52,female,medical transcriber,2025-08-18_14h22.12.285,lotterie_task,2024.2.4,Win32,59.88023952,63b1c44ee564eef7558a59b6,68947058ad5ea3fc73912f3f,68a328ea2d074a4b651d122a,,,,,,,,,,,,,,,,,,,,,[-0.23703703703703705],[0.002777777777777778],[1],[0],[0],[8.495300000011923],"[""coins_b_3"",""coins_b_3""]",0,[],[],0,0,0,148,1,60,35,-32,57,29,-20,21,22,-1,38.8415585,31.82242396,7.01913454,-32,-20,-12,-0.49,-0.32,-0.17,confounded,FALSE,,,,
