agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,occupation,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,text_response_box.text,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[10.01569999999925],[10.01569999999925],0,[],[],55,male,IT,2025-08-07_10h34.24.781,lotterie_task,2024.2.4,Linux x86_64,59.88023952,5e469f9ef0d398000b1f13f2,68947058ad5ea3fc73912f3f,689472fe3773aba237b81bf3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,IT,2025-08-07_10h34.24.781,lotterie_task,2024.2.4,Linux x86_64,59.88023952,5e469f9ef0d398000b1f13f2,68947058ad5ea3fc73912f3f,689472fe3773aba237b81bf3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,IT,2025-08-07_10h34.24.781,lotterie_task,2024.2.4,Linux x86_64,59.88023952,5e469f9ef0d398000b1f13f2,68947058ad5ea3fc73912f3f,689472fe3773aba237b81bf3,1,[34.67079999999887],[34.67079999999887],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,IT,2025-08-07_10h34.24.781,lotterie_task,2024.2.4,Linux x86_64,59.88023952,5e469f9ef0d398000b1f13f2,68947058ad5ea3fc73912f3f,689472fe3773aba237b81bf3,,,,33.33,1,[55.59969999999925],[55.59979999999887],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,IT,2025-08-07_10h34.24.781,lotterie_task,2024.2.4,Linux x86_64,59.88023952,5e469f9ef0d398000b1f13f2,68947058ad5ea3fc73912f3f,689472fe3773aba237b81bf3,,,,33.33,1,[67.06579999999886],[67.06579999999886],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,IT,2025-08-07_10h34.24.781,lotterie_task,2024.2.4,Linux x86_64,59.88023952,5e469f9ef0d398000b1f13f2,68947058ad5ea3fc73912f3f,689472fe3773aba237b81bf3,,,,,,,,,,,,,1,[78.15890000000036],[78.15890000000036],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,IT,2025-08-07_10h34.24.781,lotterie_task,2024.2.4,Linux x86_64,59.88023952,5e469f9ef0d398000b1f13f2,68947058ad5ea3fc73912f3f,689472fe3773aba237b81bf3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,IT,2025-08-07_10h34.24.781,lotterie_task,2024.2.4,Linux x86_64,59.88023952,5e469f9ef0d398000b1f13f2,68947058ad5ea3fc73912f3f,689472fe3773aba237b81bf3,,,,,,,,,,,,,,,,[-0.26747025383843315],[-0.007531130755389178],[1],[0],[0],[9.341699999999264],"[""coins_b_3"",""coins_b_3""]",0,[],[],0,0,0,187,1,66,64,-14,70,50,-1,38.66666667,39.66666667,-1,37.24990679,29.89239963,7.357507157,-14,-1,-13,-0.71,-0.48,-0.23,confounded,FALSE,,,,
,,,,,,55,male,IT,2025-08-07_10h34.24.781,lotterie_task,2024.2.4,Linux x86_64,59.88023952,5e469f9ef0d398000b1f13f2,68947058ad5ea3fc73912f3f,689472fe3773aba237b81bf3,,,,,,,,,,,,,,,,[-0.28133858574761283],[-0.0031683533279984084],[1],[0],[0],[7.9901000000015046],"[""coins_b_3"",""coins_b_3""]",0,[],[],0,1,1,10,1,44,17,-42,71,6,-31,6.333333333,15.33333333,-9,35.91038228,42.16106682,-6.250684541,-42,-31,-11,-0.42,0.32,-0.74,unconfounded,FALSE,,,,
,,,,,,55,male,IT,2025-08-07_10h34.24.781,lotterie_task,2024.2.4,Linux x86_64,59.88023952,5e469f9ef0d398000b1f13f2,68947058ad5ea3fc73912f3f,689472fe3773aba237b81bf3,,,,,,,,,,,,,,,,[-0.26767879062228733],[-0.018860428421585647],[1],[0],[0],[4.753399999998521],"[""coins_b_3"",""coins_b_3""]",0,[],[],0,2,2,200,1,75,56,-40,78,43,-30,30.33333333,30.33333333,0,50.33443707,44.99135719,5.343079879,-40,-30,-10,-0.63,-0.4,-0.23,confounded,FALSE,,,,
