agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,occupation,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,slider.response,slider.rt,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,check_correctness.started,check_correctness.stopped,failed_questions.started,failed_questions.stopped,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[1.8697000000029789],[1.8697000000029789],0,[],[],31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,1,[2.9944999999999986],[2.9944999999999986],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,33,52.729,1,[56.935600000001486],[56.935600000001486],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,33,38.5634,1,[101.74039999999852],[101.74039999999852],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,,,,,,,,,,,102.0148,102.0148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,,,,,,,,,,,,,102.0149,102.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,,,,,,,,,,,,,,,1,[125.32039999999851],[125.32039999999851],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,,,,,,,,,,,,,,,,,,[-0.29444444444444445],[0.1361111111111111],[1],[0],[0],[4.933599999994044],"[""coins_b_3"",""coins_b_3""]",0,[],[],0,0,0,161,1,91,40,-37,81,27,-32,31.33333333,25.33333333,6,52.61389761,46.14710777,6.466789845,-37,-32,-5,-0.24,-0.05,-0.19,confounded,FALSE,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,,,,,,,,,,,,,,,,,,[0.26805555555555555],[-0.05416666666666667],[1],[0],[0],[22.539800000004476],"[""coins_b_3"",""coins_b_3""]",0,[],[],0,1,1,199,1,76,47,-60,74,22,-51,21,15,6,58.48646567,51.27052435,7.215941325,-60,-51,-9,-0.58,-0.2,-0.38,confounded,FALSE,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,,,,,,,,,,,,,,,,,,[-0.25],[-0.058333333333333334],[1],[0],[0],[15.296700000002971],"[""coins_b_3"",""coins_b_3""]",0,[],[],0,2,2,124,1,88,55,-57,98,39,-42,28.66666667,31.66666667,-3,62.05553069,57.38950736,4.666023323,-57,-42,-15,-0.56,-0.19,-0.37,confounded,FALSE,,,,
,,,,,,31,male,Dietitian,2025-08-14_12h48.46.280,lotterie_task,2024.2.4,Win32,172.4137931,6669df2f25867bc36bb36c7d,68947058ad5ea3fc73912f3f,689dbf42ce27b43851567aaf,,,,,,,,,,,,,,,,,,,,,[0.23125],[-0.07847222222222222],[1],[0],[0],[6.461700000002992],"[""coins_b_3"",""coins_b_3""]",0,[],[],0,3,3,143,1,49,11,-37,57,15,-22,7.666666667,16.66666667,-9,35.18838192,32.27313985,2.915242074,-37,-22,-15,-0.14,0.08,-0.22,confounded,FALSE,,,,
