agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,occupation,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,slider.response,slider.rt,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,check_correctness.started,check_correctness.stopped,failed_questions.started,failed_questions.stopped,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[1.1291000000089397],[1.1291000000089397],0,[],[],46,female,Head of department,2025-08-19_13h54.03.530,lotterie_task,2024.2.4,Win32,60.60606061,67eaf47d4e5ef1afadd6c8c4,68947058ad5ea3fc73912f3f,68a4520eabef9b52d0926908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,46,female,Head of department,2025-08-19_13h54.03.530,lotterie_task,2024.2.4,Win32,60.60606061,67eaf47d4e5ef1afadd6c8c4,68947058ad5ea3fc73912f3f,68a4520eabef9b52d0926908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,46,female,Head of department,2025-08-19_13h54.03.530,lotterie_task,2024.2.4,Win32,60.60606061,67eaf47d4e5ef1afadd6c8c4,68947058ad5ea3fc73912f3f,68a4520eabef9b52d0926908,1,[2.187999999999999],[2.188099999994037],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,46,female,Head of department,2025-08-19_13h54.03.530,lotterie_task,2024.2.4,Win32,60.60606061,67eaf47d4e5ef1afadd6c8c4,68947058ad5ea3fc73912f3f,68a4520eabef9b52d0926908,,,,33,30.4021,1,[35.60590000000596],[35.60590000000596],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,46,female,Head of department,2025-08-19_13h54.03.530,lotterie_task,2024.2.4,Win32,60.60606061,67eaf47d4e5ef1afadd6c8c4,68947058ad5ea3fc73912f3f,68a4520eabef9b52d0926908,,,,33,13.7194,1,[50.705],[50.705],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,46,female,Head of department,2025-08-19_13h54.03.530,lotterie_task,2024.2.4,Win32,60.60606061,67eaf47d4e5ef1afadd6c8c4,68947058ad5ea3fc73912f3f,68a4520eabef9b52d0926908,,,,,,,,,,,,,,50.9801,50.9801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,46,female,Head of department,2025-08-19_13h54.03.530,lotterie_task,2024.2.4,Win32,60.60606061,67eaf47d4e5ef1afadd6c8c4,68947058ad5ea3fc73912f3f,68a4520eabef9b52d0926908,,,,,,,,,,,,,,,,50.9802,50.9809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,46,female,Head of department,2025-08-19_13h54.03.530,lotterie_task,2024.2.4,Win32,60.60606061,67eaf47d4e5ef1afadd6c8c4,68947058ad5ea3fc73912f3f,68a4520eabef9b52d0926908,,,,,,,,,,,,,,,,,,1,[52.85750000000001],[52.85750000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,46,female,Head of department,2025-08-19_13h54.03.530,lotterie_task,2024.2.4,Win32,60.60606061,67eaf47d4e5ef1afadd6c8c4,68947058ad5ea3fc73912f3f,68a4520eabef9b52d0926908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,46,female,Head of department,2025-08-19_13h54.03.530,lotterie_task,2024.2.4,Win32,60.60606061,67eaf47d4e5ef1afadd6c8c4,68947058ad5ea3fc73912f3f,68a4520eabef9b52d0926908,,,,,,,,,,,,,,,,,,,,,[-0.27962960137261283],[0.02685182359483507],[1],[0],[0],[31.837099999994038],"[""coins_a_3"",""coins_a_3""]",0,[],[],0,0,0,80,1,86,44,-23,97,16,-15,35.66666667,32.66666667,3,44.88751373,47.21816976,-2.33065603,-23,-15,-8,-0.27,0.49,-0.76,unconfounded,FALSE,,,,
