agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.clicked_name,questions_loop.thisRepN,questions_loop.thisTrialN,questions_loop.thisN,questions_loop.thisIndex,questions_loop.ran,text_response_box.text,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[12.93660000000149],[12.93660000000149],0,[],[],41,female,2025-04-02_10h54.41.012,lotterie_task,2024.2.4,Win32,60.24096386,60d3511c0fbe657b15fc577e,67ec14af82a94bf3ef3ef029,67ecf9e8218fe96f2e51b793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41,female,2025-04-02_10h54.41.012,lotterie_task,2024.2.4,Win32,60.24096386,60d3511c0fbe657b15fc577e,67ec14af82a94bf3ef3ef029,67ecf9e8218fe96f2e51b793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41,female,2025-04-02_10h54.41.012,lotterie_task,2024.2.4,Win32,60.24096386,60d3511c0fbe657b15fc577e,67ec14af82a94bf3ef3ef029,67ecf9e8218fe96f2e51b793,1,[45.41730000000074],[45.41730000000074],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41,female,2025-04-02_10h54.41.012,lotterie_task,2024.2.4,Win32,60.24096386,60d3511c0fbe657b15fc577e,67ec14af82a94bf3ef3ef029,67ecf9e8218fe96f2e51b793,,,,[0.30185190836588544],[-0.251851894237377],[1],[0],[0],[44.040599999999614],"[""coins_b"",""coins_b""]",0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41,female,2025-04-02_10h54.41.012,lotterie_task,2024.2.4,Win32,60.24096386,60d3511c0fbe657b15fc577e,67ec14af82a94bf3ef3ef029,67ecf9e8218fe96f2e51b793,,,,[-0.2527777353922526],[-0.28703703703703703],[1],[0],[0],[12.657499999999999],"[""coins_a"",""coins_a""]",1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41,female,2025-04-02_10h54.41.012,lotterie_task,2024.2.4,Win32,60.24096386,60d3511c0fbe657b15fc577e,67ec14af82a94bf3ef3ef029,67ecf9e8218fe96f2e51b793,,,,,,,,,,,,,,,,33.33,1,[120.56559999999962],[120.56559999999962],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41,female,2025-04-02_10h54.41.012,lotterie_task,2024.2.4,Win32,60.24096386,60d3511c0fbe657b15fc577e,67ec14af82a94bf3ef3ef029,67ecf9e8218fe96f2e51b793,,,,,,,,,,,,,,,,33.33,1,[125.85569999999925],[125.85569999999925],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41,female,2025-04-02_10h54.41.012,lotterie_task,2024.2.4,Win32,60.24096386,60d3511c0fbe657b15fc577e,67ec14af82a94bf3ef3ef029,67ecf9e8218fe96f2e51b793,,,,,,,,,,,,,,,,,,,,,,,,,1,[160.5010999999996],[160.50120000000112],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41,female,2025-04-02_10h54.41.012,lotterie_task,2024.2.4,Win32,60.24096386,60d3511c0fbe657b15fc577e,67ec14af82a94bf3ef3ef029,67ecf9e8218fe96f2e51b793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41,female,2025-04-02_10h54.41.012,lotterie_task,2024.2.4,Win32,60.24096386,60d3511c0fbe657b15fc577e,67ec14af82a94bf3ef3ef029,67ecf9e8218fe96f2e51b793,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-0.24351847613299335],[-0.06666667373092086],[1],[0],[0],[7.425699999999267],"[""coins_b_3"",""coins_b_3""]",0,[],[],0,0,0,87,1,57,54,-20,83,2,-3,30.33333333,27.33333333,3,35.6121078,39.4151691,-3.803061301,-20,-3,-17,-0.7,0.7,-1.4,,,,
