agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.clicked_name,questions_loop.thisRepN,questions_loop.thisTrialN,questions_loop.thisN,questions_loop.thisIndex,questions_loop.ran,text_response_box.text,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[28.10710000002384],[28.10710000002384],0,[],[],27,female,2025-04-02_10h45.11.633,lotterie_task,2024.2.4,Win32,142.8571429,6086846efe1bf3e6fff790db,67ec14af82a94bf3ef3ef029,67ecf8fa268dea770a79686d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,female,2025-04-02_10h45.11.633,lotterie_task,2024.2.4,Win32,142.8571429,6086846efe1bf3e6fff790db,67ec14af82a94bf3ef3ef029,67ecf8fa268dea770a79686d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,female,2025-04-02_10h45.11.633,lotterie_task,2024.2.4,Win32,142.8571429,6086846efe1bf3e6fff790db,67ec14af82a94bf3ef3ef029,67ecf8fa268dea770a79686d,1,[99.95849999999999],[99.95849999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,female,2025-04-02_10h45.11.633,lotterie_task,2024.2.4,Win32,142.8571429,6086846efe1bf3e6fff790db,67ec14af82a94bf3ef3ef029,67ecf8fa268dea770a79686d,,,,[-0.36944442325168186],[-0.23518519931369358],[1],[0],[0],[44.035499999999985],"[""coins_a"",""coins_a""]",0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,female,2025-04-02_10h45.11.633,lotterie_task,2024.2.4,Win32,142.8571429,6086846efe1bf3e6fff790db,67ec14af82a94bf3ef3ef029,67ecf8fa268dea770a79686d,,,,[-0.19537035624186197],[-0.2398148289433232],[1],[0],[0],[30.918100000023856],"[""coins_a"",""coins_a""]",1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,female,2025-04-02_10h45.11.633,lotterie_task,2024.2.4,Win32,142.8571429,6086846efe1bf3e6fff790db,67ec14af82a94bf3ef3ef029,67ecf8fa268dea770a79686d,,,,,,,,,,,,,,,,33,1,[205.85410000002383],[205.85410000002383],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,female,2025-04-02_10h45.11.633,lotterie_task,2024.2.4,Win32,142.8571429,6086846efe1bf3e6fff790db,67ec14af82a94bf3ef3ef029,67ecf8fa268dea770a79686d,,,,,,,,,,,,,,,,33,1,[219.05979999995233],[219.05979999995233],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,female,2025-04-02_10h45.11.633,lotterie_task,2024.2.4,Win32,142.8571429,6086846efe1bf3e6fff790db,67ec14af82a94bf3ef3ef029,67ecf8fa268dea770a79686d,,,,,,,,,,,,,,,,,,,,,,,,,1,[235.5991999999285],[235.5991999999285],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,female,2025-04-02_10h45.11.633,lotterie_task,2024.2.4,Win32,142.8571429,6086846efe1bf3e6fff790db,67ec14af82a94bf3ef3ef029,67ecf8fa268dea770a79686d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,female,2025-04-02_10h45.11.633,lotterie_task,2024.2.4,Win32,142.8571429,6086846efe1bf3e6fff790db,67ec14af82a94bf3ef3ef029,67ecf8fa268dea770a79686d,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.3120370087800203],[0.03333331920482494],[1],[0],[0],[13.093299999952308],"[""coins_a_3"",""coins_a_3""]",0,[],[],0,0,0,67,1,74,38,-25,94,11,-18,29,29,0,40.91454509,47.46226571,-6.547720623,-25,-18,-7,-0.32,0.51,-0.83,,,,
