agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.clicked_name,questions_loop.thisRepN,questions_loop.thisTrialN,questions_loop.thisN,questions_loop.thisIndex,questions_loop.ran,text_response_box.text,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[74.25999999999999],[74.25999999999999],0,[],[],23,female,2025-04-02_10h50.42.533,lotterie_task,2024.2.4,Win32,59.88023952,666ab7a55764ab9069edbf0e,67ec14af82a94bf3ef3ef029,67ecf8fc2de691c2a350e738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,female,2025-04-02_10h50.42.533,lotterie_task,2024.2.4,Win32,59.88023952,666ab7a55764ab9069edbf0e,67ec14af82a94bf3ef3ef029,67ecf8fc2de691c2a350e738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,female,2025-04-02_10h50.42.533,lotterie_task,2024.2.4,Win32,59.88023952,666ab7a55764ab9069edbf0e,67ec14af82a94bf3ef3ef029,67ecf8fc2de691c2a350e738,1,[127.88909999990464],[127.88909999990464],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,female,2025-04-02_10h50.42.533,lotterie_task,2024.2.4,Win32,59.88023952,666ab7a55764ab9069edbf0e,67ec14af82a94bf3ef3ef029,67ecf8fc2de691c2a350e738,,,,[0.2861111111111111],[-0.18055555555555555],[1],[0],[0],[26.477299999952294],"[""coins_b"",""coins_b""]",0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,female,2025-04-02_10h50.42.533,lotterie_task,2024.2.4,Win32,59.88023952,666ab7a55764ab9069edbf0e,67ec14af82a94bf3ef3ef029,67ecf8fc2de691c2a350e738,,,,[0.2847222222222222],[-0.24513888888888888],[1],[0],[0],[11.324099999904632],"[""coins_b"",""coins_b""]",1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,female,2025-04-02_10h50.42.533,lotterie_task,2024.2.4,Win32,59.88023952,666ab7a55764ab9069edbf0e,67ec14af82a94bf3ef3ef029,67ecf8fc2de691c2a350e738,,,,,,,,,,,,,,,,33.3,1,[258.5915],[258.5915999999046],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,female,2025-04-02_10h50.42.533,lotterie_task,2024.2.4,Win32,59.88023952,666ab7a55764ab9069edbf0e,67ec14af82a94bf3ef3ef029,67ecf8fc2de691c2a350e738,,,,,,,,,,,,,,,,33.3,1,[337.84],[337.84],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,female,2025-04-02_10h50.42.533,lotterie_task,2024.2.4,Win32,59.88023952,666ab7a55764ab9069edbf0e,67ec14af82a94bf3ef3ef029,67ecf8fc2de691c2a350e738,,,,,,,,,,,,,,,,,,,,,,,,,1,[379.26140000009536],[379.26140000009536],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,female,2025-04-02_10h50.42.533,lotterie_task,2024.2.4,Win32,59.88023952,666ab7a55764ab9069edbf0e,67ec14af82a94bf3ef3ef029,67ecf8fc2de691c2a350e738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,female,2025-04-02_10h50.42.533,lotterie_task,2024.2.4,Win32,59.88023952,666ab7a55764ab9069edbf0e,67ec14af82a94bf3ef3ef029,67ecf8fc2de691c2a350e738,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-0.12291666666666666],[-0.0875],[1],[0],[0],[7.989299999952323],"[""coins_b_3"",""coins_b_3""]",0,[],[],0,0,0,30,1,64,24,-48,52,23,-35,13.33333333,13.33333333,0,46.34172586,36.16935474,10.17237112,-48,-35,-13,-0.33,-0.38,0.05,,,,
