agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.clicked_name,questions_loop.thisRepN,questions_loop.thisTrialN,questions_loop.thisN,questions_loop.thisIndex,questions_loop.ran,text_response_box.text,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[2.6951999999992573],[2.6951999999992573],0,[],[],28,male,2025-04-01_18h24.42.684,lotterie_task,04.02.2024,Win32,59.88023952,615eaaf99d191e2bc495b80d,67e2b0ae02a1f02d83f7b2c5,67ec0ca4c1fc3cdb5c40b641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,
,,,,,,28,male,2025-04-01_18h24.42.684,lotterie_task,04.02.2024,Win32,59.88023952,615eaaf99d191e2bc495b80d,67e2b0ae02a1f02d83f7b2c5,67ec0ca4c1fc3cdb5c40b641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,male,2025-04-01_18h24.42.684,lotterie_task,04.02.2024,Win32,59.88023952,615eaaf99d191e2bc495b80d,67e2b0ae02a1f02d83f7b2c5,67ec0ca4c1fc3cdb5c40b641,1,[53.14890000000037],[53.14890000000037],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,male,2025-04-01_18h24.42.684,lotterie_task,04.02.2024,Win32,59.88023952,615eaaf99d191e2bc495b80d,67e2b0ae02a1f02d83f7b2c5,67ec0ca4c1fc3cdb5c40b641,,,,[0.2574074074074074],[-0.2657407407407407],[1],[0],[0],[14.303399999998504],"[""coins_b"",""coins_b""]",0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,male,2025-04-01_18h24.42.684,lotterie_task,04.02.2024,Win32,59.88023952,615eaaf99d191e2bc495b80d,67e2b0ae02a1f02d83f7b2c5,67ec0ca4c1fc3cdb5c40b641,,,,[-0.2324074074074074],[-0.2740740740740741],[1],[0],[0],[9.9435],"[""coins_a"",""coins_a""]",1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,male,2025-04-01_18h24.42.684,lotterie_task,04.02.2024,Win32,59.88023952,615eaaf99d191e2bc495b80d,67e2b0ae02a1f02d83f7b2c5,67ec0ca4c1fc3cdb5c40b641,,,,,,,,,,,,,,,,"33,3",1,[141.4986000000015],[141.49870000000112],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,male,2025-04-01_18h24.42.684,lotterie_task,04.02.2024,Win32,59.88023952,615eaaf99d191e2bc495b80d,67e2b0ae02a1f02d83f7b2c5,67ec0ca4c1fc3cdb5c40b641,,,,,,,,,,,,,,,,"33,3",1,[160.01390000000038],[160.01390000000038],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,male,2025-04-01_18h24.42.684,lotterie_task,04.02.2024,Win32,59.88023952,615eaaf99d191e2bc495b80d,67e2b0ae02a1f02d83f7b2c5,67ec0ca4c1fc3cdb5c40b641,,,,,,,,,,,,,,,,,,,,,,,,,1,[183.3410999999996],[183.3410999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,male,2025-04-01_18h24.42.684,lotterie_task,04.02.2024,Win32,59.88023952,615eaaf99d191e2bc495b80d,67e2b0ae02a1f02d83f7b2c5,67ec0ca4c1fc3cdb5c40b641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,28,male,2025-04-01_18h24.42.684,lotterie_task,04.02.2024,Win32,59.88023952,615eaaf99d191e2bc495b80d,67e2b0ae02a1f02d83f7b2c5,67ec0ca4c1fc3cdb5c40b641,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.30185185185185187],[-0.022222222222222223],[1],[0],[0],[14.22859999999963],"[""coins_a_3"",""coins_a_3""]",0,[],[],0,0,0,76,1,52,45,-43,79,10,-35,18,18,0,43.2280773,46.88283268,-3.654755383,-43,-35,-8,-0.69,0.25,-0.94,,,,
