agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,occupation,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.clicked_name,questions_loop.thisRepN,questions_loop.thisTrialN,questions_loop.thisN,questions_loop.thisIndex,questions_loop.ran,text_response_box.text,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,block_init.started,block_init.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[5.323199999999254],[5.323300000000746],0,[],[],31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,1,[44.37840000000223],[44.37840000000223],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,[0.40633680555555557],[-0.23820167824074073],[1],[0],[0],[56.1055],"[""coins_b"",""coins_b""]",0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,[-0.26486183449074074],[-0.2633318865740741],[1],[0],[0],[11.93839999999851],"[""coins_a"",""coins_a""]",1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,33.3%,1,[168.92639999999852],[168.92639999999852],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,33.3%,1,[181.21919999999926],[181.21919999999926],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,1,[187.74139999999852],[187.74139999999852],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0392,188.0393,[-0.20342881944444444],[-0.03458839699074074],[1],[0],[0],[22.170300000000736],"[""coins_a_3"",""coins_a_3""]",0,0,0,35,1,56,42,-72,65,9,-66,8.666666667,2.666666667,6,57.32558087,53.66770185,3.657879018,-72,-66,-6,-0.68,-0.18,-0.5,old,False,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-0.11915147569444444],[0.022262008101851853],[1],[0],[0],[9.302699999999248],"[""coins_b_3"",""coins_b_3""]",0,1,1,20,1,64,24,-23,50,35,-20,21.66666667,21.66666667,0,35.55590278,30.09245014,5.463452634,-23,-20,-3,-0.1,-0.58,0.48,old,False,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.274584056712963],[-0.023679832175925924],[1],[0],[0],[10.761699999999252],"[""coins_a_3"",""coins_a_3""]",0,2,2,37,1,91,81,-24,99,44,-22,49.33333333,40.33333333,9,52.01495511,49.46603773,2.548917383,-24,-22,-2,-0.69,-0.11,-0.58,old,False,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.27447916666666666],[-0.023679832175925924],[1],[0],[0],[4.614600000001502],"[""coins_a_3"",""coins_a_3""]",0,3,3,27,1,99,51,-13,95,36,-3,45.66666667,42.66666667,3,45.87906809,40.28509512,5.59397297,-13,-3,-10,-0.17,0.24,-0.41,old,False,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.27447916666666666],[-0.023679832175925924],[1],[0],[0],[19.554100000001483],"[""coins_a_3"",""coins_a_3""]",0,4,4,31,1,74,43,-22,76,14,-13,31.66666667,25.66666667,6,40.00277768,37.25885428,2.743923402,-22,-13,-9,-0.4,0.44,-0.84,old,False,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-0.2582718460648148],[-0.04045138888888889],[1],[0],[0],[3.5458999999984826],"[""coins_b_3"",""coins_b_3""]",0,5,5,4,1,80,2,-60,69,30,-50,7.333333333,16.33333333,-9,57.27904406,49.5333782,7.745665868,-60,-50,-10,0.14,-0.39,0.53,old,False,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.20386284722222223],[-0.01718388310185185],[1],[0],[0],[11.096400000002234],"[""coins_b_3"",""coins_b_3""]",0,6,6,8,1,69,24,-23,60,43,-15,23.33333333,29.33333333,-6,37.56180093,32.10745846,5.454342465,-23,-15,-8,-0.03,-0.56,0.53,old,False,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-0.2786892361111111],[-0.029513888888888888],[1],[0],[0],[16.863599999997746],"[""coins_b_3"",""coins_b_3""]",0,7,7,19,1,92,60,-21,99,43,-11,43.66666667,43.66666667,0,47.55581516,44.90978611,2.646029045,-21,-11,-10,-0.47,0.02,-0.49,old,False,,,,,,,
,,,,,,31,female,manager,2025-05-14_16h12.48.211,lotterie_task,2024.2.4,MacIntel,120.4819277,6504602a870c824d03739550,682496798d2b39949583f61c,6824b02f1dfa216529e75286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[-0.2611002604166667],[-0.01902488425925926],[1],[0],[0],[13.394499999999994],"[""coins_b_3"",""coins_b_3""]",0,8,8,10,1,67,19,-22,60,38,-16,21.33333333,27.33333333,-6,36.37153955,31.93048004,4.441059506,-22,-16,-6,0.1,-0.46,0.56,old,False,,,,,,,
