agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,occupation,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.clicked_name,questions_loop.thisRepN,questions_loop.thisTrialN,questions_loop.thisN,questions_loop.thisIndex,questions_loop.ran,text_response_box.text,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,block_init.started,block_init.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[262.85889999997613],[262.85889999997613],0,[],[],55,male,Systems Administrator,2025-05-14_07h59.18.082,lotterie_task,2024.2.4,Win32,59.88023952,678f0bb28ec3307e4f1afb78,682496798d2b39949583f61c,6824afa5aa36cada4633f213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,Systems Administrator,2025-05-14_07h59.18.082,lotterie_task,2024.2.4,Win32,59.88023952,678f0bb28ec3307e4f1afb78,682496798d2b39949583f61c,6824afa5aa36cada4633f213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,Systems Administrator,2025-05-14_07h59.18.082,lotterie_task,2024.2.4,Win32,59.88023952,678f0bb28ec3307e4f1afb78,682496798d2b39949583f61c,6824afa5aa36cada4633f213,1,[330.1031999999881],[330.1031999999881],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,Systems Administrator,2025-05-14_07h59.18.082,lotterie_task,2024.2.4,Win32,59.88023952,678f0bb28ec3307e4f1afb78,682496798d2b39949583f61c,6824afa5aa36cada4633f213,,,,[0.29878449458527584],[-0.27214452214452217],[1],[0],[0],[19.55819999998812],"[""coins_b"",""coins_b""]",0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,Systems Administrator,2025-05-14_07h59.18.082,lotterie_task,2024.2.4,Win32,59.88023952,678f0bb28ec3307e4f1afb78,682496798d2b39949583f61c,6824afa5aa36cada4633f213,,,,[-0.2825785461283508],[-0.2645132780630827],[1],[0],[0],[8.752300000011871],"[""coins_a"",""coins_a""]",1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,Systems Administrator,2025-05-14_07h59.18.082,lotterie_task,2024.2.4,Win32,59.88023952,678f0bb28ec3307e4f1afb78,682496798d2b39949583f61c,6824afa5aa36cada4633f213,,,,,,,,,,,,,,,,33,1,[389.5811999999881],[389.5811999999881],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,Systems Administrator,2025-05-14_07h59.18.082,lotterie_task,2024.2.4,Win32,59.88023952,678f0bb28ec3307e4f1afb78,682496798d2b39949583f61c,6824afa5aa36cada4633f213,,,,,,,,,,,,,,,,33,1,[396.84860000002385],[396.84860000002385],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,Systems Administrator,2025-05-14_07h59.18.082,lotterie_task,2024.2.4,Win32,59.88023952,678f0bb28ec3307e4f1afb78,682496798d2b39949583f61c,6824afa5aa36cada4633f213,,,,,,,,,,,,,,,,,,,,,,,,,1,[408.03320000004766],[408.03320000004766],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,Systems Administrator,2025-05-14_07h59.18.082,lotterie_task,2024.2.4,Win32,59.88023952,678f0bb28ec3307e4f1afb78,682496798d2b39949583f61c,6824afa5aa36cada4633f213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55,male,Systems Administrator,2025-05-14_07h59.18.082,lotterie_task,2024.2.4,Win32,59.88023952,678f0bb28ec3307e4f1afb78,682496798d2b39949583f61c,6824afa5aa36cada4633f213,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.3062,408.3063,[-0.21875350940292346],[-0.07095680740700272],[1],[0],[0],[4.4591000000237955],"[""coins_b_3"",""coins_b_3""]",0,0,0,3,1,75,4,-67,57,43,-61,4,13,-9,57.97125725,52.63712252,5.334134731,-67,-61,-6,0,-0.67,0.67,old,False,,,,,,,
