agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,occupation,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.clicked_name,questions_loop.thisRepN,questions_loop.thisTrialN,questions_loop.thisN,questions_loop.thisIndex,questions_loop.ran,text_response_box.text,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,block_init.started,block_init.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[18.862499999999997],[18.862499999999997],0,[],[],30,male,Revit technician,2025-05-14_15h56.30.805,lotterie_task,2024.2.4,Win32,59.88023952,5fff2877a99bcb65a14a223c,682496798d2b39949583f61c,6824af0439ddf10c0a5be508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,male,Revit technician,2025-05-14_15h56.30.805,lotterie_task,2024.2.4,Win32,59.88023952,5fff2877a99bcb65a14a223c,682496798d2b39949583f61c,6824af0439ddf10c0a5be508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,male,Revit technician,2025-05-14_15h56.30.805,lotterie_task,2024.2.4,Win32,59.88023952,5fff2877a99bcb65a14a223c,682496798d2b39949583f61c,6824af0439ddf10c0a5be508,1,[86.43709999999403],[86.43719999998807],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,male,Revit technician,2025-05-14_15h56.30.805,lotterie_task,2024.2.4,Win32,59.88023952,5fff2877a99bcb65a14a223c,682496798d2b39949583f61c,6824af0439ddf10c0a5be508,,,,[-0.32685184478759766],[-0.24166665253815828],[1],[0],[0],[16.23990000000596],"[""coins_a"",""coins_a""]",0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,male,Revit technician,2025-05-14_15h56.30.805,lotterie_task,2024.2.4,Win32,59.88023952,5fff2877a99bcb65a14a223c,682496798d2b39949583f61c,6824af0439ddf10c0a5be508,,,,[-0.33055556261980973],[-0.22037039862738717],[1],[0],[0],[6.442599999994059],"[""coins_a"",""coins_a""]",1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,male,Revit technician,2025-05-14_15h56.30.805,lotterie_task,2024.2.4,Win32,59.88023952,5fff2877a99bcb65a14a223c,682496798d2b39949583f61c,6824af0439ddf10c0a5be508,,,,,,,,,,,,,,,,33.5,1,[172.64100000000002],[172.64100000000002],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,male,Revit technician,2025-05-14_15h56.30.805,lotterie_task,2024.2.4,Win32,59.88023952,5fff2877a99bcb65a14a223c,682496798d2b39949583f61c,6824af0439ddf10c0a5be508,,,,,,,,,,,,,,,,33.5,1,[186.41009999999406],[186.41009999999406],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,male,Revit technician,2025-05-14_15h56.30.805,lotterie_task,2024.2.4,Win32,59.88023952,5fff2877a99bcb65a14a223c,682496798d2b39949583f61c,6824af0439ddf10c0a5be508,,,,,,,,,,,,,,,,,,,,,,,,,1,[189.80730000001194],[189.80730000001194],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,male,Revit technician,2025-05-14_15h56.30.805,lotterie_task,2024.2.4,Win32,59.88023952,5fff2877a99bcb65a14a223c,682496798d2b39949583f61c,6824af0439ddf10c0a5be508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,male,Revit technician,2025-05-14_15h56.30.805,lotterie_task,2024.2.4,Win32,59.88023952,5fff2877a99bcb65a14a223c,682496798d2b39949583f61c,6824af0439ddf10c0a5be508,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.077,190.0771,[-0.32407407407407407],[-0.012962977091471354],[1],[0],[0],[5.180999999999983],"[""coins_b_3"",""coins_b_3""]",0,0,0,15,1,63,2,-47,49,23,-45,6,9,-3,44.99629614,39.63163719,5.36465895,-47,-45,-2,0.13,-0.49,0.62,old,False,,,,,,,
