outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check
35,19,-36,66,5,-26,6.0,15.0,-9.0,30.40833219146796,38.21866908549625,-7.810336894028293,-36,-26,-10,-0.56,0.37,-0.93,new,False
45,40,-49,77,30,-44,12.0,21.0,-9.0,43.18178628387977,49.80629143659129,-6.624505152711521,-49,-44,-5,-0.7,-0.27,-0.4299999999999999,new,False
41,39,-29,73,26,-21,17.0,26.0,-9.0,32.53715824509981,38.37533930360313,-5.8381810585033165,-29,-21,-8,-0.71,0.0,-0.71,new,False
62,43,-86,99,27,-80,6.333333333333333,15.333333333333334,-9.0,65.74867975015839,73.54061613980551,-7.79193638964712,-86,-80,-6,-0.66,-0.23,-0.43,new,False
40,34,-14,62,29,-4,20.0,29.0,-9.0,24.166091947189145,26.94438717061496,-2.7782952234258147,-14,-4,-10,-0.67,0.0,-0.67,new,False
67,58,-29,93,49,-19,32.0,41.0,-9.0,43.28972164382672,46.07240678178932,-2.782685137962595,-29,-19,-10,-0.68,-0.26,-0.42,new,False
59,34,-23,76,30,-18,23.333333333333332,29.333333333333332,-6.0,34.315529364349835,38.378234572331344,-4.062705207981509,-23,-18,-5,-0.44,-0.03,-0.41,new,False
72,24,-26,91,16,-19,23.333333333333332,29.333333333333332,-6.0,40.01110956832975,45.88633299312068,-5.875223424790931,-26,-19,-7,-0.02,0.41,-0.43,new,False
76,31,-39,96,19,-29,22.666666666666668,28.666666666666668,-6.0,47.3168985552613,51.486783633170255,-4.169885077908958,-39,-29,-10,-0.26,0.28,-0.54,new,False
56,49,-15,84,31,-7,30.0,36.0,-6.0,31.94787421201396,37.31844941401862,-5.370575202004662,-15,-7,-8,-0.68,0.2,-0.8800000000000001,new,False
58,27,-28,78,17,-20,19.0,25.0,-6.0,35.56215216584433,40.40627014049511,-4.8441179746507785,-28,-20,-8,-0.33,0.29,-0.62,new,False
62,41,-30,88,24,-21,24.333333333333332,30.333333333333332,-6.0,39.364394515292055,44.72384400096018,-5.359449485668122,-30,-21,-9,-0.56,0.21,-0.77,new,False
56,39,-80,86,11,-73,5.0,8.0,-3.0,60.50344342817743,64.94613152451807,-4.442688096340639,-80,-73,-7,-0.67,-0.07,-0.6000000000000001,new,False
74,29,-58,96,13,-55,15.0,18.0,-3.0,54.7905101272109,61.746794788609606,-6.956284661398705,-58,-55,-3,-0.37,0.12,-0.49,new,False
51,25,-16,72,5,-8,20.0,23.0,-3.0,27.58018612458347,35.05234181430203,-7.472155689718562,-16,-8,-8,-0.27,0.63,-0.9,new,False
73,32,-44,95,17,-42,20.333333333333332,23.333333333333332,-3.0,48.472214262972926,56.10902086315731,-7.636806600184386,-44,-42,-2,-0.35,0.17,-0.52,new,False
66,55,-73,97,23,-63,16.0,19.0,-3.0,63.09252464964979,65.38093503970914,-2.2884103900593544,-73,-63,-10,-0.69,-0.09,-0.6,new,False
59,17,-45,75,4,-39,10.333333333333334,13.333333333333334,-3.0,42.71871824960211,47.00590979393501,-4.287191544332899,-45,-39,-6,-0.23,0.29,-0.52,new,False
65,35,-38,81,15,-34,20.666666666666668,20.666666666666668,0.0,43.25377311736965,47.11923410054775,-3.865460983178103,-38,-34,-4,-0.46,0.18,-0.64,new,False
70,31,-60,87,5,-51,13.666666666666666,13.666666666666666,0.0,54.46915538989832,56.6705880996091,-2.2014327097107795,-60,-51,-9,-0.45,0.23,-0.68,new,False
71,36,-38,93,11,-35,23.0,23.0,0.0,45.43860326491855,52.94021785624486,-7.501614591326309,-38,-35,-3,-0.41,0.33,-0.74,new,False
63,62,-52,88,34,-49,24.333333333333332,24.333333333333332,0.0,53.97736150976218,56.346152387619945,-2.368790877857762,-52,-49,-3,-0.71,-0.25,-0.4599999999999999,new,False
65,61,-27,97,23,-21,33.0,33.0,0.0,42.45782220824175,48.68949236402724,-6.231670155785487,-27,-21,-6,-0.7,0.3,-1.0,new,False
57,33,-39,75,10,-34,17.0,17.0,0.0,40.79215610874227,44.773504069557326,-3.98134796081505,-39,-34,-5,-0.53,0.23,-0.76,new,False
82,33,-22,91,7,-14,31.0,28.0,3.0,42.481368465089105,45.36518488885502,-2.8838164237659143,-22,-14,-8,-0.07,0.6,-0.6699999999999999,new,False
62,55,-78,93,7,-70,13.0,10.0,3.0,64.41014412859722,66.57827473483124,-2.1681306062340155,-78,-70,-8,-0.7,0.07,-0.77,new,False
67,34,-14,82,3,-7,29.0,26.0,3.0,33.25657829663178,39.80787191833629,-6.5512936217045095,-14,-7,-7,-0.22,0.67,-0.89,new,False
73,35,-13,82,8,-4,31.666666666666668,28.666666666666668,3.0,35.188381921057726,38.029228525204424,-2.840846604146698,-13,-4,-9,-0.14,0.65,-0.79,new,False
60,59,-71,98,2,-61,16.0,13.0,3.0,61.51964455900787,65.37583651472461,-3.8561919557167386,-71,-61,-10,-0.71,0.25,-0.96,new,False
