subject,condition,lambda,alpha,tau,gamma,intercept_lambda,intercept_alpha,intercept_tau,intercept_gamma,b_lambda,b_alpha,b_tau,b_gamma,mu_lambda,mu_alpha,mu_tau,mu_gamma,sim_id
1,1,1.8567010559005241,0.8437181998842117,1.3790472548873864,0.7321240765427446,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
1,2,1.7648517228415024,1.0006436678101664,1.1586778764766732,0.6273739935766782,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
2,1,1.4611899822635417,0.6492803499030303,1.4349864920832773,0.8205108614937184,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
2,2,1.4664013491269976,0.7166862239492193,1.5100471982006758,0.8994776260927213,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
3,1,1.938212466875317,0.6684334098312079,1.9876159674003133,0.8307183451779875,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
3,2,1.6762406747560115,0.5830587026768129,1.6081016059372895,0.83563899397441,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
4,1,1.1004493180711625,0.5253641428292252,1.7843202517117047,0.9650812458532013,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
4,2,1.0939273994730265,0.8814316569320126,1.9193710640414696,1.1434753943068747,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
5,1,1.7399793501211898,0.6261079549111407,1.4814503925981712,0.5822758938381006,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
5,2,1.6739019107010147,0.8470624613791572,1.6199925594903697,0.7591009619908362,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
6,1,2.0369885769469964,0.6104088773800241,1.397983520731782,0.7743522746214442,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
6,2,1.5704434365803923,0.565351000787162,1.6662662036164877,0.6664372247070427,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
7,1,1.7536514327588542,0.5579525044024662,1.407450698266053,0.5324521412015865,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
7,2,1.471078973551253,0.6971458032512522,1.668496439583865,0.5670355320083815,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
8,1,1.7074638633158006,0.512039335538761,1.5116231296818743,0.8779112175395983,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
8,2,1.449665334880443,0.709109554145645,1.8919822546382798,0.8340045999831487,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
9,1,2.074380126630548,0.8132217881254038,1.17441305096286,1.0260648320684427,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
9,2,1.9546034239900298,0.8664286252281906,1.373015242900435,0.8639786488211533,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
10,1,1.3286904580305319,0.8050509108413143,1.0970395479162782,1.0054944294820982,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
10,2,1.2044514732411262,1.0741728361486989,1.5300719850311868,0.8086665803749908,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
11,1,1.5896290058163351,0.7505579645164683,1.6770352039501397,0.7524292906349365,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
11,2,1.6207984931850374,0.6359760412989607,1.7635896685133392,0.9060486114596282,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
12,1,1.997533977025397,0.4451400129440792,1.3441823776130086,0.7608280939071089,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
12,2,1.4749165140102347,0.4611405371675595,1.3182060331184062,0.6944617222280652,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
13,1,1.528494742419826,0.6055510558925522,1.297498586838922,0.8217370667384382,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
13,2,1.333031770415512,0.5297722341585539,1.716108729155569,0.8688610253715088,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.5454536689571798,0.6718171988179168,1.7101862163032497,0.7159550166171061,1
14,1,1.595666808618199,0.7712649738813843,1.0688068872003629,0.8910770886086322,1.387465313076973,-0.10343551019905137,1.3737571198143996,0.0637826573336497,-0.16362410820750004,0.12062128844423345,0.27392573483616056,-0.03735120734970955,1.6763660841408683,0.6146219660065592,1.4916793864316467,0.735225990986014,1
